209373536286199805695684820250250349315255403676779899036970099858193986990633109266669076056277504 8896583127994802613269883649438352912632937323085469669338877525175868647860421082506281429226696677
87314256241125 1100
567987143257743 111118889347652
10 8394665544
9 8
46258726276 0000663278387897
00009 84
9798689798 965785
589 125
999999999999999999 1
112233445566778899 998877665544332211
00500 8
999999999999999999 999999999999999999
999999 0000000000000000001
5 05
1000000000000001 000001000000000000001
0000999999999999999999999999 999999999999999999999998
0000987654321987654321987654321 000000098765432198765432198765432
95866325000252 00000000005582000211420
00055869696450000000 0099999652000000000000000000000
009 00009
999999999 00000001
20000000000003 0000010000000000003
00010000000000 0099999999991000000
900000009 900000009
